0	329,1573	3994,896
1	355,1398	3980,522
2	378,6711	3957,375
3	399,7992	3925,978
4	418,5312	3886,898
5	434,8629	3840,748
6	448,7979	3788,17
7	460,3586	3729,817
9	469,5903	3666,335
10	476,561	3598,347
11	481,359	3526,431
12	484,0887	3451,126
13	484,8654	3372,914
14	483,8118	3292,225
15	481,0537	3209,436
16	476,7169	3124,877
17	470,9248	3038,831
18	463,7963	2951,54
19	455,4447	2863,208
20	445,9768	2774,011
21	435,4925	2684,094
22	424,0846	2593,581
23	411,8387	2502,572
24	398,8335	2411,155
25	385,141	2319,399
26	370,8272	2227,365
27	355,9519	2135,1
28	340,5697	2042,645
29	324,7301	1950,034
30	308,4778	1857,294
31	291,8532	1764,448
32	274,8935	1671,515
33	257,6313	1578,511
34	240,0966	1485,448
35	222,3165	1392,336
36	204,3154	1299,184
37	186,1151	1206
38	167,7354	1112,79
39	149,1942	1019,557
40	130,5076	926,3056
41	111,69	833,0398
42	92,75454	739,7617
43	73,71289	646,4737
44	54,57565	553,1777
45	35,35237	459,8748
46	16,0516	366,5664
47	-3,318913	273,2535
48	-22,75222	179,9369
49	-42,24206	86,61727
50	-61,78279	-6,704816
51	-81,36935	-100,0289
52	-100,9972	-193,3548
53	-120,6621	-286,6819
54	-140,3605	-380,0102
55	-160,0889	-473,3391
56	-179,8445	-566,6683
57	-199,6244	-659,9999
58	-219,4263	-753,3318
59	-239,248	-846,6637
60	-259,0874	-939,9956
61	-278,9429	-1033,328
62	-298,8128	-1126,663
63	-318,6957	-1219,998
64	-338,5902	-1313,333
65	-358,4953	-1406,668
66	-378,4099	-1500,003
67	-398,3329	-1593,338
68	-418,2637	-1686,672
