0	26,83145	3995,046
1	47,07134	3981,556
2	62,38915	3960,51
3	73,42608	3932,812
4	80,61442	3899,364
5	84,3024	3861,064
6	84,81417	3818,768
7	82,47017	3773,256
9	77,58782	3725,204
10	70,47436	3675,177
11	61,41922	3623,636
12	50,68818	3570,948
13	38,52027	3517,395
14	25,12681	3463,197
15	10,69228	3408,52
16	-4,623904	3353,489
17	-20,68499	3298,198
18	-37,37434	3242,715
19	-54,59289	3187,091
20	-72,25676	3131,365
21	-90,29509	3075,564
22	-108,6481	3019,708
23	-127,2655	2963,813
24	-146,1049	2907,888
25	-165,1308	2851,943
26	-184,3132	2795,983
27	-203,6271	2740,013
28	-223,0512	2684,031
29	-242,5679	2628,05
30	-262,1623	2572,057
31	-281,8219	2516,063
32	-301,5363	2460,07
33	-321,2965	2404,076
34	-341,0954	2348,082
35	-360,9266	2292,089
36	-380,785	2236,095
37	-400,6661	2180,101
38	-420,5663	2124,108
39	-440,4826	2068,114
40	-460,4123	2012,116
41	-480,3533	1956,117
42	-500,3038	1900,117
43	-520,2623	1844,117
44	-540,2274	1788,117
45	-560,1982	1732,118
46	-580,1736	1676,118
47	-600,1528	1620,118
48	-620,1355	1564,118
49	-640,1212	1508,119
50	-660,1091	1452,119
51	-680,0983	1396,119
52	-700,0904	1340,119
53	-720,0825	1284,12
54	-740,0771	1228,12
55	-760,0722	1172,12
56	-780,0673	1116,12
57	-800,0629	1060,12
58	-820,0611	1004,121
59	-840,0593	948,121
60	-860,0574	892,1212
61	-880,0556	836,1215
62	-900,0538	780,1217
63	-920,0519	724,1219
64	-940,0501	668,1222
65	-960,0483	612,1224
66	-980,0464	556,1227
67	-1000,045	500,1229
68	-1020,043	444,1232
